Population,Latitude,Longitude
LEMON-001,38.46138625,-113.308495
LEMON-002,38.501648,-113.305772
LEMON-002.5,38.502219,-113.3016031
WOLF-1027,37.5919855,-111.217317
LEMON-004,38.791789,-113.59848
LEMON-004.5,38.802955,-113.6091
LEMON-005,38.517704,-113.545626
LEMON-006,38.516266,-113.55612
LEMON-007,38.51416667,-113.5901067
LEMON-008.5,39.1292245,-114.227165
LEMON-009,39.1292097,-114.2271133
LEMON-010,37.86122133,-114.410393
LEMON-011,37.48687733,-115.337112
LEMON-012,38.21189033,-116.6116137
LEMON-013,37.63293,-118.09751
LEMON-014,39.55769,-116.3607152
LEMON-015,42.899196,-115.791
LEMON-016,42.89989,-115.79124
LEMON-017,42.83471667,-115.87943
LEMON-018,41.62193867,-114.8360313
LEMON-019,36.91428867,-112.4953713
LEMON-020,36.91262667,-112.4962967
LEMON-021,35.18568,-110.44324
LEMON-023,36.74343667,-107.9835333
LEMON-024,37.32827667,-109.3234067
LEMON-025,38.95734,-108.47032
LEMON-026,38.92157667,-110.43123
LEMON-027,39.41889,-110.421
LEMON-029,38.4623,-113.30997
LEMON-030,40.85261333,-108.7176267
LEMON-031,38.50271,-113.3027
LEMON-032,40.307239,-109.690389
GH,38.5203,-113.2876
GHE,38.5296861,-113.230633