Well,Sample,Barcode
A1,p_001s_01,
B1,p_001s_02,
C1,p_001s_03,
D1,p_001s_04,
E1,p_006s_01,
F1,p_006s_02,
G1,p_006s_03,
H1,p_006s_04,
A2,p_002s_14,
B2,p_002s_05,
C2,p_002s_04,
D2,p_002s_16,
E2,p_026s_12,
F2,p_027s_06,
G2,p_028s_13,
H2,p_026s_14,
A3,p_031s_11,
B3,p_027s_01,
C3,p_029s_10,
D3,p_027s_03,
E3,p_006s_14,
F3,p_005s_11,
G3,p_006s_06,
H3,p_005s_09,
A4,p_002s_15,
B4,p_002.5s_01,
C4,p_002s_06,
D4,p_002s_11,
E4,p_1027s_18,
F4,p_1027s_04,
G4,p_016s_06,
H4,p_015s_13,
A5,p_016s_04,
B5,p_026s_12r,
C5,p_017s_03,
D5,p_015s_14,
E5,p_1027s_14,
F5,p_027s_05,
G5,p_030s_10,
H5,p_1027s_11,
A6,p_030s_11,
B6,p_016s_03,
C6,p_017s_05,
D6,p_016s_01,
E6,p_002.5s_08,
F6,p_002s_12,
G6,p_005s_06,
H6,p_004.5s_05,
A7,p_011s_11,
B7,p_008s_06,
C7,p_002s_13,
D7,p_1027s_20,
E7,p_002.5s_02,
F7,p_007s_02,
G7,p_026s_14r,
H7,p_010s_14,
A8,p_011s_14,
B8,p_002s_10,
C8,p_009s_13,
D8,p_002s_01,
E8,p_002.5s_05,
F8,p_002s_03,
G8,p_1027s_12,
H8,p_013s_08,
A9,p_002s_08,
B9,p_002.5s_04,
C9,p_1027s_06,
D9,p_013s_01,
E9,p_002s_02,
F9,p_002.5s_07,
G9,p_002s_07,
H9,p_030s_10,
A10,p_012s_12,
B10,p_002s_09,
C10,p_002.5s_03,
D10,p_008.5s_04,
E10,p_011s_10,
F10,p_013s_13,
G10,p_011s_08,
H10,p_012s_05,
A11,p_1027s_12r,
B11,p_009s_15,
C11,p_016s_15,
D11,p_013s_02,
E11,p_010s_02,
F11,p_017s_01,
G11,p_009s_01,
H11,p_016s_02,
A12,p_016s_15,
B12,p_008s_04,
C12,p_017s_10,
D12,p_015s_15,
E12,p_016s_05,
F12,p_007s_14,
G12,p_008.5s_07,
H12,p_012s_06,