Well,Sample
A01_p1,p_001s_01
A02_p1,p_002s_14
A03_p1,p_031s_11
A04_p1,p_002s_15
A05_p1,p_016s_04
A06_p1,p_030s_11
A07_p1,p_011s_11
A08_p1,p_011s_14
A09_p1,p_002s_08
A10_p1,p_012s_12
A11_p1,p_1027s_12r
A12_p1,p_016s_15
B01_p1,p_001s_02
B02_p1,p_002s_05
B03_p1,p_027s_01
B04_p1,p_002.5s_01
B05_p1,p_026s_12r
B06_p1,p_016s_03
B07_p1,p_008s_06
B08_p1,p_002s_10
B09_p1,p_002.5s_04
B10_p1,p_002s_09
B11_p1,p_009s_15
B12_p1,p_008s_04
C01_p1,p_001s_03
C02_p1,p_002s_04
C03_p1,p_029s_10
C04_p1,p_002s_06
C05_p1,p_017s_03
C06_p1,p_017s_05
C07_p1,p_002s_13
C08_p1,p_009s_13
C09_p1,p_1027s_06
C10_p1,p_002.5s_03
C11_p1,p_016s_15
C12_p1,p_017s_10
D01_p1,p_001s_04
D02_p1,p_002s_16
D03_p1,p_027s_03
D04_p1,p_002s_11
D05_p1,p_015s_14
D06_p1,p_016s_01
D07_p1,p_1027s_20
D08_p1,p_002s_01
D09_p1,p_013s_01
D10_p1,p_008.5s_04
D11_p1,p_013s_02
D12_p1,p_015s_15
E01_p1,p_006s_01
E02_p1,p_026s_12
E03_p1,p_006s_14
E04_p1,p_1027s_18
E05_p1,p_1027s_14
E06_p1,p_002.5s_08
E07_p1,p_002.5s_02
E08_p1,p_002.5s_05
E09_p1,p_002s_02
E10_p1,p_011s_10
E11_p1,p_010s_02
E12_p1,p_016s_05
F01_p1,p_006s_02
F02_p1,p_027s_06
F03_p1,p_005s_11
F04_p1,p_1027s_04
F05_p1,p_027s_05
F06_p1,p_002s_12
F07_p1,p_007s_02
F08_p1,p_002s_03
F09_p1,p_002.5s_07
F10_p1,p_013s_13
F11_p1,p_017s_01
F12_p1,p_007s_14
G01_p1,p_006s_03
G02_p1,p_028s_13
G03_p1,p_006s_06
G04_p1,p_016s_06
G05_p1,p_030s_10
G06_p1,p_005s_06
G07_p1,p_026s_14r
G08_p1,p_1027s_12
G09_p1,p_002s_07
G10_p1,p_011s_08
G11_p1,p_009s_01
G12_p1,p_008.5s_07
H01_p1,p_006s_04
H02_p1,p_026s_14
H03_p1,p_005s_09
H04_p1,p_015s_13
H05_p1,p_1027s_11
H06_p1,p_004.5s_05
H07_p1,p_010s_14
H08_p1,p_013s_08
H09_p1,p_030s_10
H10_p1,p_012s_05
H11_p1,p_016s_02
H12_p1,p_012s_06
A01_p2,p_012s_07
A02_p2,p_009s_05
A03_p2,p_010s_11
A04_p2,p_020s_14
A05_p2,p_013s_05
A06_p2,p_024s_14
A07_p2,p_019s_14
A08_p2,p_025s_10
A09_p2,p_027s_06r
A10_p2,p_017s_02
A11_p2,p_001s_15
A12_p2,p_009s_12
B01_p2,p_008.5s_06
B02_p2,p_012s_3
B03_p2,p_012s_15
B04_p2,p_011s_02
B05_p2,p_010s_03
B06_p2,p_025s_05
B07_p2,p_007s_03
B08_p2,p_023s_15
B09_p2,p_025s_04
B10_p2,p_018s_06
B11_p2,p_023s_10
B12_p2,p_022s_06
C01_p2,p_007s_11
C02_p2,p_022s_01
C03_p2,p_020s_05
C04_p2,p_020s_02
C05_p2,p_1027s_13
C06_p2,p_022s_12
C07_p2,p_002s_06r
C08_p2,p_019s_15
C09_p2,p_023s_03
C10_p2,p_023s_14
C11_p2,p_021s_12
C12_p2,p_013s_05r
D01_p2,p_009s_14
D02_p2,p_012s_09
D03_p2,Na
D04_p2,p_019s_13
D05_p2,p_011s_01
D06_p2,p_025s_06
D07_p2,p_010s_09
D08_p2,p_012s_10
D09_p2,p_024s_06
D10_p2,p_025s_08
D11_p2,p_1027s_03
D12_p2,p_007s_05
E01_p2,p_1027s_02
E02_p2,p_008s_03
E03_p2,p_1027s_09
E04_p2,p_020s_04
E05_p2,p_022s_08
E06_p2,p_023s_11
E07_p2,p_025s_02
E08_p2,p_023s_13
E09_p2,p_017s_08
E10_p2,p_030s_11r
E11_p2,p_024s_09
E12_p2,p_MS s_A
F01_p2,p_016s_14
F02_p2,p_022s_03
F03_p2,p_007s_12
F04_p2,p_007s_13
F05_p2,p_001s_10
F06_p2,p_024s_15
F07_p2,p_019s_08
F08_p2,p_010s_13
F09_p2,p_015s_03
F10_p2,p_015s_06
F11_p2,p_024s_12
F12_p2,p_MS s_B
G01_p2,p_017s_04
G02_p2,p_008.5s_08
G03_p2,p_011s_09
G04_p2,p_022s_15
G05_p2,p_013s_01r
G06_p2,p_020s_03
G07_p2,p_010s_01
G08_p2,p_002s_10
G09_p2,p_018s_04
G10_p2,p_023s_08
G11_p2,p_013s_07
G12_p2,p_MS s_C
H01_p2,p_009s_06
H02_p2,p_021s_08
H03_p2,p_022s_04
H04_p2,p_010s_15
H05_p2,p_001s_11
H06_p2,p_012s_04
H07_p2,p_013s_09
H08_p2,p_025s_07
H09_p2,p_025s_01
H10_p2,p_025s_11
H11_p2,p_020s_07
H12_p2,p_MS s_D
A01_p3,p_015s_09
A02_p3,p_024s_08
A03_p3,p_023s_05
A04_p3,p_017s_15
A05_p3,p_006s_09
A06_p3,p_006s_11
A07_p3,p_009s_13r
A08_p3,p_006s_15
A09_p3,p_031s_05
A10_p3,p_032s_15
A11p_3,p_016s_14r
A12p_3,p_031s_10
B01_p3,p_016s_08
B02_p3,p_019s_13r
B03_p3,p_024s_04r
B04_p3,p_023s_02
B05_p3,p_003s_12
B06_p3,p_005s_13
B07_p3,p_001s_07
B08_p3,p_024s_02
B09_p3,p_026s_06
B10_p3,p_026s_06
B11p_3,p_029s_03
B12p_3,p_026s_11
C01_p3,p_015s_12
C02_p3,p_023s_07
C03_p3,p_025s_15
C04_p3,p_024s_10
C05_p3,p_003s_06
C06_p3,p_006s_05
C07_p3,p_006s_07
C08_p3,p_029s_06
C09_p3,p_031s_12
C10_p3,p_031s_08
C11p_3,p_032s_03
C12p_3,p_027s_12
D01_p3,p_1027s_19
D02_p3,p_015s_04
D03_p3,p_001s_06
D04_p3,p_004s_02
D05_p3,p_003s_10
D06_p3,p_001s_02r
D07_p3,p_005s_14
D08_p3,p_031s_02
D09_p3,p_030s_08
D10p_3,p_021s_11
D11p_3,p_031s_07
D12p_3,p_001s_08
E01_p3,p_023s_12
E02_p3,p_1027s_16
E03_p3,p_001s_09
E04_p3,p_006s_08
E05_p3,p_006s_13
E06_p3,p_001s_12
E07_p3,p_004.5s_06
E08_p3,p_026s_09
E09_p3,p_029s_01
E10p_3,p_032s_09
E11p_3,p_015s_15r
E12p_3,p_030s_12
F01_p3,p_025s_12
F02_p3,p_024s_04
F03_p3,p_023s_04
F04_p3,p_003s_14
F05_p3,p_001s_14
F06_p3,p_001s_04r
F07_p3,p_015s_05
F08_p3,p_031s_09
F09_p3,p_031s_06
F10p_3,p_027s_07
F11p_3,p_032s_08
F12p_3,p_032s_02
G01_p3,p_025s_09
G02_p3,p_023s_09
G03_p3,p_001s_13
G04_p3,p_005s_03
G05_p3,p_004.5s_13
G06_p3,p_024s_13
G07_p3,p_005s_05
G08_p3,p_030s_14
G09_p3,p_029s_07
G10p_3,p_026s_07
G11p_3,p_027s_02
G12p_3,p_007s_12
H01_p3,p_024s_07
H02_p3,p_025s_14
H03_p3,p_001s_05
H04_p3,p_012s_05r
H05_p3,p_005s_12
H06_p3,p_003s_05
H07_p3,p_023s_01
H08_p3,p_029s_08
H09_p3,p_027s_15
H10p_3,p_026s_10
H11p_3,p_032s_01
H12p_3,p_031s_03